Energy 	 Vol 	 L
-6.01739e-19	2.05318e-26	2.73827e-09
-6.14016e-19	2.0433e-26	2.73387e-09
-5.92499e-19	2.04035e-26	2.73255e-09
-6.23979e-19	1.97117e-26	2.70131e-09
-5.97338e-19	1.93446e-26	2.68444e-09
-5.98808e-19	1.96421e-26	2.69813e-09
-5.86855e-19	2.00539e-26	2.71685e-09
-5.87713e-19	2.03475e-26	2.73005e-09
-5.7771e-19	2.15162e-26	2.78135e-09
-5.60152e-19	2.14024e-26	2.77644e-09
-5.51635e-19	2.11038e-26	2.76346e-09
-5.6267e-19	2.16885e-26	2.78875e-09
-5.4687e-19	2.21361e-26	2.8078e-09
-5.59716e-19	2.1405e-26	2.77655e-09
-5.51777e-19	2.14849e-26	2.78e-09
-5.48153e-19	2.20794e-26	2.80541e-09
-5.3214e-19	2.18522e-26	2.79575e-09
-5.42444e-19	2.18182e-26	2.7943e-09
-5.48763e-19	2.12808e-26	2.77117e-09
-5.62269e-19	1.99694e-26	2.71303e-09
-5.68031e-19	1.9647e-26	2.69835e-09
-5.76444e-19	1.9695e-26	2.70055e-09
-5.77088e-19	1.90695e-26	2.67165e-09
-5.97742e-19	1.86988e-26	2.65422e-09
-6.0389e-19	1.88454e-26	2.66114e-09
-5.91252e-19	1.88346e-26	2.66063e-09
-6.02951e-19	1.88522e-26	2.66146e-09
-6.16776e-19	1.82279e-26	2.63176e-09
-6.29876e-19	1.77828e-26	2.61016e-09
-6.1478e-19	1.74244e-26	2.5925e-09
-5.89963e-19	1.84539e-26	2.64259e-09
-5.9192e-19	1.80267e-26	2.62204e-09
-5.88345e-19	1.87275e-26	2.65558e-09
-5.9994e-19	1.82996e-26	2.6352e-09
-5.86727e-19	1.84499e-26	2.6424e-09
-5.72004e-19	1.82151e-26	2.63114e-09
-5.68148e-19	1.90877e-26	2.6725e-09
-5.58472e-19	1.86024e-26	2.64965e-09
-5.75053e-19	1.90272e-26	2.66967e-09
-5.84815e-19	1.87633e-26	2.65728e-09
-5.7812e-19	1.85673e-26	2.64799e-09
-5.69637e-19	1.88734e-26	2.66246e-09
-5.84295e-19	1.87e-26	2.65428e-09
-5.6575e-19	1.91783e-26	2.67672e-09
-5.55395e-19	1.99313e-26	2.71131e-09
-5.69738e-19	1.98861e-26	2.70926e-09
-5.86444e-19	1.8671e-26	2.65291e-09
-5.83332e-19	1.8671e-26	2.65291e-09
-5.73853e-19	1.99988e-26	2.71436e-09
-5.59096e-19	2.00504e-26	2.7167e-09
-5.81319e-19	1.97273e-26	2.70202e-09
-5.80249e-19	1.99568e-26	2.71246e-09
-5.85277e-19	1.89907e-26	2.66797e-09
-5.78337e-19	1.91678e-26	2.67623e-09
-5.95032e-19	1.93771e-26	2.68594e-09
-5.85791e-19	1.94289e-26	2.68833e-09
-5.77363e-19	1.93286e-26	2.6837e-09
-5.80707e-19	1.90745e-26	2.67188e-09
-6.14083e-19	1.83757e-26	2.63885e-09
-6.05546e-19	1.7777e-26	2.60988e-09
-6.10269e-19	1.7895e-26	2.61563e-09
-6.15798e-19	1.80179e-26	2.62161e-09
-6.02535e-19	1.83686e-26	2.63851e-09
-6.18884e-19	1.78727e-26	2.61455e-09
-6.33352e-19	1.76668e-26	2.60447e-09
-6.16044e-19	1.80991e-26	2.62554e-09
-5.9404e-19	1.91674e-26	2.67622e-09
-6.01591e-19	1.85372e-26	2.64656e-09
-6.10939e-19	1.87166e-26	2.65507e-09
-6.07484e-19	1.87289e-26	2.65565e-09
-5.85581e-19	1.92955e-26	2.68216e-09
-6.079e-19	1.92955e-26	2.68216e-09
-6.18931e-19	1.96627e-26	2.69907e-09
-6.11714e-19	1.94593e-26	2.68973e-09
-6.26854e-19	1.91793e-26	2.67677e-09
-6.21761e-19	1.91793e-26	2.67677e-09
-6.16056e-19	1.85945e-26	2.64928e-09
-6.0577e-19	1.91607e-26	2.6759e-09
-6.1449e-19	1.91607e-26	2.6759e-09
-6.17132e-19	1.929e-26	2.68191e-09
-5.89239e-19	2.01031e-26	2.71907e-09
-5.93605e-19	2.0265e-26	2.72636e-09
-6.20935e-19	1.95978e-26	2.6961e-09
-6.09391e-19	1.88413e-26	2.66095e-09
-6.14716e-19	1.84938e-26	2.64449e-09
-6.00958e-19	1.94509e-26	2.68935e-09
-6.18269e-19	1.92285e-26	2.67905e-09
-5.9047e-19	1.96368e-26	2.69788e-09
-6.10315e-19	1.98664e-26	2.70836e-09
-6.23025e-19	1.97854e-26	2.70467e-09
-6.32516e-19	1.93148e-26	2.68306e-09
-6.37009e-19	1.88433e-26	2.66105e-09
-6.25258e-19	1.8788e-26	2.65844e-09
-6.03123e-19	1.87357e-26	2.65597e-09
-6.13282e-19	1.87204e-26	2.65525e-09
-6.09522e-19	1.89979e-26	2.6683e-09
-5.95124e-19	1.95228e-26	2.69265e-09
-5.8782e-19	1.97609e-26	2.70356e-09
-5.76009e-19	1.98981e-26	2.7098e-09
-5.75012e-19	2.0078e-26	2.71794e-09
-5.87261e-19	1.92208e-26	2.6787e-09
-5.86581e-19	1.9226e-26	2.67894e-09
-5.97616e-19	1.97096e-26	2.70121e-09
-6.12344e-19	1.9551e-26	2.69395e-09
-6.29515e-19	1.86814e-26	2.6534e-09
-6.31363e-19	1.8934e-26	2.66531e-09
-6.19255e-19	1.97861e-26	2.70471e-09
-5.89139e-19	2.03625e-26	2.73072e-09
-5.78388e-19	2.00293e-26	2.71574e-09
-6.11814e-19	1.97011e-26	2.70083e-09
-6.11616e-19	1.99435e-26	2.71186e-09
-6.17856e-19	1.98141e-26	2.70598e-09
-6.14258e-19	1.95368e-26	2.6933e-09
-6.19975e-19	1.92123e-26	2.67831e-09
-6.19894e-19	1.9387e-26	2.6864e-09
-6.36216e-19	1.91448e-26	2.67516e-09
-6.42983e-19	1.88851e-26	2.66301e-09
-6.24536e-19	1.90085e-26	2.6688e-09
-6.15887e-19	1.97974e-26	2.70522e-09
-6.25682e-19	1.96586e-26	2.69889e-09
-6.34302e-19	1.93822e-26	2.68617e-09
-6.31856e-19	1.95875e-26	2.69562e-09
-6.40277e-19	1.91953e-26	2.67751e-09
-6.28659e-19	1.95214e-26	2.69259e-09
-6.24156e-19	1.93373e-26	2.6841e-09
-6.07304e-19	1.9896e-26	2.7097e-09
-5.96355e-19	2.09446e-26	2.75649e-09
-5.98747e-19	2.08072e-26	2.75045e-09
-6.20832e-19	2.05027e-26	2.73697e-09
-6.00873e-19	2.12742e-26	2.77088e-09
-6.15548e-19	2.00898e-26	2.71847e-09
-6.11633e-19	2.01055e-26	2.71918e-09
-6.06658e-19	2.04132e-26	2.73298e-09
-6.34802e-19	1.96804e-26	2.69988e-09
-6.26347e-19	1.96851e-26	2.70009e-09
-6.31976e-19	2.00852e-26	2.71827e-09
-6.32344e-19	2.03116e-26	2.72844e-09
-6.37117e-19	2.0331e-26	2.72931e-09
-6.3849e-19	2.04397e-26	2.73417e-09
-6.1432e-19	2.05892e-26	2.74082e-09
-5.95367e-19	2.15765e-26	2.78394e-09
-5.97717e-19	2.13034e-26	2.77215e-09
-6.24881e-19	2.03637e-26	2.73077e-09
-6.14088e-19	2.08702e-26	2.75323e-09
-6.09322e-19	2.11024e-26	2.7634e-09
-6.11525e-19	2.11533e-26	2.76562e-09
-6.03162e-19	2.11885e-26	2.76716e-09
-5.86136e-19	2.08344e-26	2.75165e-09
-5.73855e-19	2.17113e-26	2.78973e-09
-5.68773e-19	2.25948e-26	2.82707e-09
-5.61999e-19	2.16813e-26	2.78844e-09
-5.82227e-19	2.20172e-26	2.80277e-09
-5.88077e-19	2.12292e-26	2.76893e-09
-5.91888e-19	2.11711e-26	2.7664e-09
-5.53829e-19	2.25298e-26	2.82435e-09
-5.60982e-19	2.13218e-26	2.77294e-09
-5.65749e-19	2.10844e-26	2.76261e-09
-5.71032e-19	2.08482e-26	2.75226e-09
-5.867e-19	2.04931e-26	2.73655e-09
-5.77677e-19	2.09193e-26	2.75538e-09
-5.95923e-19	2.06026e-26	2.74141e-09
-5.98621e-19	2.07186e-26	2.74655e-09
-5.99868e-19	2.09764e-26	2.75789e-09
-5.87115e-19	2.02035e-26	2.72359e-09
-5.92455e-19	2.09503e-26	2.75675e-09
-5.8133e-19	2.0706e-26	2.74599e-09
-5.88769e-19	2.10197e-26	2.75979e-09
-5.83101e-19	2.10434e-26	2.76082e-09
-5.61401e-19	2.13018e-26	2.77208e-09
-5.62745e-19	2.04777e-26	2.73586e-09
-5.48819e-19	2.03392e-26	2.72968e-09
-5.66397e-19	2.02755e-26	2.72682e-09
-5.54879e-19	2.10369e-26	2.76054e-09
-5.45019e-19	2.08402e-26	2.75191e-09
-5.43091e-19	2.08341e-26	2.75164e-09
-5.39795e-19	2.13879e-26	2.77581e-09
-5.67401e-19	2.0781e-26	2.7493e-09
-5.3331e-19	2.1831e-26	2.79484e-09
-5.3709e-19	2.1831e-26	2.79484e-09
-5.50221e-19	2.10759e-26	2.76225e-09
-5.42482e-19	2.14054e-26	2.77656e-09
-5.46346e-19	2.11544e-26	2.76567e-09
-5.49337e-19	2.08648e-26	2.75299e-09
-5.57355e-19	2.03241e-26	2.729e-09
-5.75831e-19	2.0188e-26	2.7229e-09
-5.90791e-19	2.00057e-26	2.71468e-09
-5.77791e-19	2.04589e-26	2.73502e-09
-5.68766e-19	2.15293e-26	2.78191e-09
-5.92747e-19	2.07068e-26	2.74602e-09
-5.76923e-19	2.15229e-26	2.78163e-09
-5.64336e-19	2.15377e-26	2.78227e-09
-5.82113e-19	2.12954e-26	2.7718e-09
-6.25328e-19	2.03395e-26	2.72969e-09
-6.05008e-19	2.11179e-26	2.76408e-09
-6.05795e-19	2.0091e-26	2.71853e-09
-6.17199e-19	1.96132e-26	2.6968e-09
-6.13082e-19	2.00957e-26	2.71874e-09
-6.07561e-19	2.0297e-26	2.72779e-09
-6.20339e-19	2.02643e-26	2.72632e-09
-6.22693e-19	2.08545e-26	2.75254e-09
-6.13496e-19	2.12438e-26	2.76956e-09
-6.23425e-19	2.08449e-26	2.75211e-09
-6.22904e-19	2.04101e-26	2.73285e-09
-6.12768e-19	2.13393e-26	2.7737e-09
-6.1216e-19	2.15337e-26	2.7821e-09
-6.24055e-19	2.08244e-26	2.75121e-09
-6.2402e-19	2.07859e-26	2.74951e-09
-6.5934e-19	2.02791e-26	2.72699e-09
-6.49156e-19	2.01988e-26	2.72338e-09
-6.48617e-19	2.04563e-26	2.7349e-09
-6.30706e-19	2.04563e-26	2.7349e-09
-6.29909e-19	2.03018e-26	2.728e-09
-6.51074e-19	1.93912e-26	2.68659e-09
-6.48231e-19	1.96521e-26	2.69859e-09
-6.30496e-19	2.05078e-26	2.7372e-09
-6.25111e-19	1.996e-26	2.71261e-09
-6.48112e-19	1.91022e-26	2.67318e-09
-6.24855e-19	2.05214e-26	2.7378e-09
-6.32715e-19	2.02787e-26	2.72697e-09
-6.10495e-19	2.14575e-26	2.77882e-09
-6.0979e-19	2.05527e-26	2.7392e-09
-6.18808e-19	2.05989e-26	2.74125e-09
-6.06325e-19	2.05989e-26	2.74125e-09
-5.91985e-19	2.17278e-26	2.79043e-09
-6.11247e-19	2.15009e-26	2.78069e-09
-5.97919e-19	2.09748e-26	2.75782e-09
-5.96345e-19	2.07428e-26	2.74761e-09
-6.02381e-19	2.01081e-26	2.7193e-09
-5.84945e-19	2.18805e-26	2.79696e-09
-5.86942e-19	2.1704e-26	2.78942e-09
-5.77714e-19	2.20939e-26	2.80602e-09
-5.92192e-19	2.17227e-26	2.79022e-09
-5.89605e-19	2.17124e-26	2.78977e-09
-5.84301e-19	2.20229e-26	2.80301e-09
-5.9757e-19	2.14715e-26	2.77942e-09
-6.10659e-19	2.19158e-26	2.79846e-09
-6.19353e-19	2.03286e-26	2.7292e-09
-6.16477e-19	2.04227e-26	2.73341e-09
-6.07208e-19	2.08154e-26	2.75082e-09
-6.18575e-19	2.08625e-26	2.75289e-09
